Title,Genre,Rating,Votes,Duration (Minutes)
Moana 2,Adventure,6.7,86000,100
Flow,Adventure,7.9,57000,85
Gladiator II,Adventure,6.6,215000,148
Sonic the Hedgehog 3,Adventure,6.9,52000,110
Venom: The Last Dance,Adventure,6.0,107000,110
Dune: Part Two,Adventure,8.5,612000,166
Mufasa: The Lion King,Adventure,6.6,47000,118
The Lord of the Rings: The War of the Rohirrim,Adventure,6.3,27000,134
Furiosa: A Mad Max Saga,Adventure,7.5,279000,148
Deadpool & Wolverine,Adventure,7.6,479000,128
The Day the Earth Blew Up: A Looney Tunes Movie,Adventure,6.9,1600,91
Borderlands,Adventure,4.7,45000,101
Paddington in Peru,Adventure,6.7,17000,106
Night of the Zoopocalypse,Adventure,6.2,314,91
Twisters,Adventure,6.5,160000,122
Civil War,Adventure,7.0,232000,109
Despicable Me 4,Adventure,6.2,62000,94
The Count of Monte-Cristo,Adventure,7.6,32000,178
Inside Out 2,Adventure,7.5,211000,96
Kingdom of the Planet of the Apes,Adventure,6.9,149000,145
Red One,Adventure,6.3,137000,123
Transformers One,Adventure,7.6,47000,104
Solo Leveling: ReAwakening,Adventure,8.7,6600,121
Bad Boys: Ride or Die,Adventure,6.5,98000,115
Love Lies Bleeding,Adventure,6.6,56000,104
Damsel,Adventure,6.1,108000,110
Ghostbusters: Frozen Empire,Adventure,6.1,92000,115
The Return,Adventure,6.2,7400,116
Madame Web,Adventure,4.0,99000,116
Godzilla x Kong: The New Empire,Adventure,6.1,119000,115
Freaky Tales,Adventure,6.4,363,106
Wallace & Gromit: Vengeance Most Fowl,Adventure,7.5,33000,82
Harold and the Purple Crayon,Adventure,5.7,7900,90
Attack on Titan the Movie: The Last Attack,Adventure,9.3,14000,145
Spaceman,Adventure,5.7,42000,107
Uglies,Adventure,4.7,32000,100
Kung Fu Panda 4,Adventure,6.3,67000,94
The Garfield Movie,Adventure,5.7,24000,101
Hitpig,Adventure,5.1,826,86
Kalki 2898 AD,Adventure,7.0,66000,180
Descendants: The Rise of Red,Adventure,4.7,6900,91
The Empire,Adventure,5.2,1200,110
Atlas,Adventure,5.6,55000,118
Survive,Adventure,4.6,2000,90
Rebel Moon - Part Two: The Scargiver,Adventure,5.3,59000,122
Spellbound,Adventure,5.7,6300,109
Arthur the King,Adventure,7.0,33000,107
Winner,Adventure,6.5,2300,103
Monster Summer,Adventure,5.7,3500,97
Saving Bikini Bottom: The Sandy Cheeks Movie,Adventure,3.7,3700,82
My Penguin Friend,Adventure,6.7,4700,97
Family Pack,Adventure,5.5,8700,94
Lost on a Mountain in Maine,Adventure,6.2,1100,98
No Way Up,Adventure,4.6,10000,90
The Unholy Trinity,Adventure,7.9,49,93
Bookworm,Adventure,6.0,1800,103
Megamind vs. The Doom Syndicate,Adventure,2.5,5500,83
The Goat Life,Adventure,7.1,47000,173
Orion and the Dark,Adventure,6.3,17000,93
The Best Christmas Pageant Ever,Adventure,6.8,6000,99
Something in the Water,Adventure,4.1,4500,86
Sasquatch Sunset,Adventure,5.4,5300,88
A Sloth Story,Adventure,5.7,173,90
"I, the Executioner",Adventure,6.3,1600,118
My Hero Academia: You're Next,Adventure,7.0,1900,110
Justice League: Crisis on Infinite Earths - Part One,Adventure,6.2,8300,93
River of Blood,Adventure,5.4,1500,86
That Christmas,Adventure,6.8,17000,91
Thelma the Unicorn,Adventure,5.7,2900,93
Badland Hunters,Adventure,5.9,12000,107
The Courier,Adventure,6.0,4300,101
Justice League: Crisis on Infinite Earths - Part Three,Adventure,6.1,4300,94
The Tiger's Apprentice,Adventure,5.8,2100,84
The Lost Tiger,Adventure,7.8,33,90
The Price of Money: A Largo Winch Adventure,Adventure,5.1,1100,100
No Chains No Masters,Adventure,6.4,475,98
Guest from the Future,Adventure,6.0,1100,141
200% Wolf,Adventure,6.0,1300,98
Demon Slayer: Kimetsu No Yaiba - To the Hashira Training,Adventure,7.1,8300,104
The Wages of Fear,Adventure,4.6,4000,104
Unspeakable: Beyond the Wall of Sleep,Adventure,5.9,37,90
Operation Blood Hunt,Adventure,3.4,455,93
Ultraman: Rising,Adventure,6.9,6200,117
Angels Fallen: Warriors of Peace,Adventure,4.9,5800,103
Cult Killer,Adventure,4.8,2700,105
Doraemon the Movie: Nobita's Earth Symphony,Adventure,6.6,1400,115
Golden Kamuy,Adventure,6.3,2500,127
Autumn and the Black Jaguar,Adventure,5.6,960,100
Manjummel Boys,Adventure,8.2,27000,135
Woody Woodpecker Goes to Camp,Adventure,4.5,2500,100
Justice League: Crisis on Infinite Earths - Part Two,Adventure,5.5,5200,94
WWII: Operation Phoenix,Adventure,6.7,62,106
Anaconda,Adventure,4.9,600,84
My Fathers' Daughter,Adventure,6.6,71,78
Buffalo Kids,Adventure,6.6,627,93
Hanu Man,Adventure,7.7,29000,158
Dragonkeeper,Adventure,5.7,1600,98
The Forest,Adventure,6.4,17,77
The Firing Squad,Adventure,5.4,5000,93
Sixty Minutes,Adventure,5.7,5100,88
Escape,Adventure,6.4,1900,94
The Last Redemption,Adventure,6.7,3200,122
Crayon Shin-chan: Ora's Dinosaur Diary,Adventure,6.5,309,106
My Freaky Family,Adventure,6.4,388,86
Meanwhile on Earth,Adventure,6.0,869,89
Spiders on a Plane,Adventure,5.7,360,78
Bambi: A Tale of Life in the Woods,Adventure,5.7,149,85
A Legend,Adventure,4.7,854,129
Man and Witch: The Dance of a Thousand Steps,Adventure,5.6,324,94
Kanguva,Adventure,4.5,14000,152
Cells at Work!,Adventure,6.8,166,109
The Slave and the Sorcerer,Adventure,6.7,37,86
Saint-Exupéry,Adventure,5.5,237,98
Storm Crashers,Adventure,6.3,550,88
Dalia y el Libro Rojo,Adventure,6.7,41,107
Overlord: The Sacred Kingdom,Adventure,7.0,698,135
Roadkill,Adventure,3.6,672,90
Rebellious,Adventure,6.0,159,94
A.R.M,Adventure,7.1,8500,150
Robin and the Hoods,Adventure,4.4,504,100
Eat the Night,Adventure,6.2,412,106
War of the Worlds: Extinction,Adventure,3.0,172,84
The Last Ronin,Adventure,4.9,224,121
Devil's Knight,Adventure,5.4,774,90
Thangalaan,Adventure,6.6,6500,156
The Twisters,Adventure,2.5,314,86
Bade Miyan Chote Miyan,Adventure,3.8,39000,163
Bionic,Adventure,4.3,1700,110
Going Viral,Adventure,6.8,49,90
School of Magical Animals 3,Adventure,5.9,295,105
A Trip Elsewhere,Adventure,5.6,93,93
The Last of Us: Immunity,Adventure,6.3,13,64
Escape from the 21st Century,Adventure,6.5,809,98
Pimpinero: Blood and Oil,Adventure,5.6,537,121
Rally Caps,Adventure,5.5,128,100
My Oni Girl,Adventure,6.0,1700,112
Never Look Away,Adventure,7.2,245,85
Return to Wickensburg,Adventure,4.8,22,88
Shrek 5: The Contract - A Fan Made Film,Adventure,7.0,18,84
Jathara,Adventure,8.0,1000,129
The Mountain,Adventure,6.6,150,89
Fox & Hare Save the Forest,Adventure,5.9,192,71
Noah's Ark,Adventure,4.3,623,96
No Time to Spy: A Loud House Movie,Adventure,6.4,434,81
Memes & Nightmares,Adventure,5.8,73,81
Witch Hunter,Adventure,5.1,21,80
Bureau 749,Adventure,4.1,501,123
Ayalaan,Adventure,6.0,4000,155
The Keepers of the 5 Kingdoms,Adventure,4.1,214,109
Panda Bear in Africa,Adventure,5.5,307,84
The Kingdom,Adventure,7.9,85,133
Mobile Suit Gundam SEED Freedom,Adventure,6.6,923,124
Gaami,Adventure,6.4,2000,147
The Phantom Warrior,Adventure,2.4,552,119
Odio el verano,Adventure,5.1,547,103
Raqa,Adventure,6.5,58,107
Ahl Al Kahf,Adventure,5.2,237,120
Seven Seas Seven Hills,Adventure,8.6,85,90
Road Wars: Max Fury,Adventure,2.0,349,83
Barroz: Guardian of Treasures,Adventure,3.5,941,155
Diving Into the Darkness,Adventure,9.1,82,96
Abudeka Is Back,Adventure,5.3,28,120
Buddy,Adventure,3.8,339,137
Zak & Wowo: The Legend of Lendarys,Adventure,5.7,86,85
Stranded Pearl,Adventure,6.0,27,90
Ghost Island,Adventure,7.1,43,95
Gracie and Pedro: Pets to the Rescue,Adventure,5.1,258,87
Vertical,Adventure,5.3,113,111
Its Name Was Mormo,Adventure,3.8,111,93
Gladiators,Adventure,6.6,35,95
The Adventures of Jurassic Pet: Return to the Wild,Adventure,5.5,51,90
Trifole,Adventure,7.5,44,100
The Casagrandes Movie,Adventure,5.6,651,89
Cazatesoros,Adventure,6.9,19,106
The Big Trip 3: Race Around the World,Adventure,5.7,50,85
"Maya, donne-moi un titre",Adventure,6.4,47,61
Teenz,Adventure,4.4,861,122
Empire Queen: The Golden Age of Magic,Adventure,3.2,204,148
Captain Miller,Adventure,6.5,8600,157
Game On,Adventure,2.6,347,85
Little Emma,Adventure,5.7,98,106
Spirit Riser,Adventure,6.7,33,98
At Her Feet,Adventure,7.5,39,100
Elli and the Ghostly Ghost Train,Adventure,5.0,88,86
Yaren Leylek,Adventure,5.9,24,95
Amazon Bullseye,Adventure,5.3,179,113
Earthquake Underground,Adventure,3.3,188,83
Z-Mom,Adventure,4.7,42,90
Dead Dead Demon's Dededede Destruction,Adventure,7.0,136,120
Yolki 11,Adventure,4.7,163,92
Taklee Genesis x Worlds Collide,Adventure,5.5,382,146
The Traveller,Adventure,5.3,199,134
All for One,Adventure,1.2,602,97
Satu - Year of the Rabbit,Adventure,9.3,48,93
Stinky Summer,Adventure,5.9,45,90
Jurassic Triangle,Adventure,2.5,277,84
Captain Avispa,Adventure,5.8,172,96
My Redneck Neighbor: Chapter 1 - The Rednecks Are Coming,Adventure,5.0,7,74
One Million Babes BC,Adventure,3.3,35,75
Powder Pup,Adventure,6.2,73,89
Oculus,Adventure,6.0,15,113
Rocky Road to Berlin,Adventure,7.2,1300,104
Chico Bento e a Goiabeira Maraviosa,Adventure,7.8,452,90
Kodaikanal,Adventure,9.2,66,173
Un lío de millones,Adventure,6.0,50,91
Letuchiy korabl,Adventure,3.7,288,100
Kvitebjørn,Adventure,5.9,51,85
Kiyma: Orman Kanunlari,Adventure,4.3,34,81
Bull Shark 3,Adventure,3.5,71,76
Dragon Ball Z Kai,Adventure,8.4,65,82
Dongeng Sang Kancil,Adventure,8.1,77,99
Joachim and the Apocalypse,Adventure,7.2,12,90
Tulang Belulang Tulang,Adventure,7.0,38,95
Troy the Bharat Putra,Adventure,5.7,30,134
Birds Flying East,Adventure,5.8,557,100
Friendly Fire,Adventure,6.6,30,105
Baba Yaga spasaet Novyy god,Adventure,4.4,113,99
I Heart Robots,Adventure,4.6,2300,76
The Star City Murders,Adventure,4.1,141,79
Major Grom: The Game,Adventure,6.1,1800,168
Dünya Mali: Eksi Bir,Adventure,7.2,15,133
Permafrost,Adventure,5.7,112,80
Death Game,Adventure,6.3,24,88
Tracing the Divide,Adventure,8.7,152,84
Sunlight,Adventure,7.9,17,96
Treasure Trackers,Adventure,5.8,151,92
The Backrooms,Adventure,6.2,7,63
Niko: Beyond the Northern Lights,Adventure,6.3,295,86
Mong Vuot,Adventure,5.2,115,96
The Epidemic,Adventure,5.8,69,95
Gepack,Adventure,6.6,357,97
Next to Us,Adventure,4.9,220,125
Die Chaosschwestern und Pinguin Paul,Adventure,5.7,66,100
Dünya Varmis,Adventure,7.3,48,100
Marianengraben,Adventure,7.5,63,87
Tri kota. Zimnie kanikuly,Adventure,6.1,27,65
Wonderful Precure! The Movie! Doki Doki Game no Sekai de Daiboken,Adventure,6.8,25,71
Håkan Bråkan 2,Adventure,5.4,127,92
Formed Police Unit,Adventure,4.6,472,120
LasseMajas detektivbyrå - Maskoten som försvann,Adventure,6.0,54,90
Bratya,Adventure,3.1,104,105
The Secret of Pin-Up Island,Adventure,7.4,92,107
Tipppsy,Adventure,8.1,32,115
Arctic Hollow,Adventure,2.3,179,70
Fuuto PI: Portrait of Kamen Rider Skull,Adventure,7.5,30,82
Advent,Adventure,7.5,6,119
Five Friends,Adventure,6.7,847,112
Ognivo,Adventure,5.4,212,105
Luigi's Mansion,Adventure,6.0,17,60
Rocky and Bullwinkle,Adventure,9.7,11,100
Si Juki the Movie: Harta Pulau Monyet,Adventure,6.0,114,107
Hain,Adventure,2.9,45,95
Nintama Rantaro Dokutake Ninja-tai Saikyou no Gunshi,Adventure,6.8,14,90
Planetquake,Adventure,3.0,281,85
Goldbeak,Adventure,4.9,126,94
Naa Saami Ranga,Adventure,4.5,1200,150
Kaizen,Adventure,7.3,638,160
"Silex and the City, le film",Adventure,4.9,47,77
Askepote,Adventure,3.5,80,72
Appu,Adventure,8.6,181,92
Masha i Medved v kino: Park chudes,Adventure,7.0,16,58
Heavens: The Boy and His Robot,Adventure,6.3,21,98
Six Nine Five (695),Adventure,7.0,704,137
Steal the Naughty List,Adventure,6.7,113,90
Dikkie Dik 2: Een Nieuwe Vriend voor Dikkie Dik,Adventure,7.4,71,70
Shanghai Story,Adventure,8.1,55,71
The Worlds Divide,Adventure,8.0,36,120
Two Breaths,Adventure,8.1,21,18
Surge of Power: Where There's Smoke,Adventure,7.3,12,68
Güzel Bir Rüya,Adventure,4.9,40,79
Wonderland,Adventure,6.8,12,120
Longe da Estrada,Adventure,6.0,9,68
Cândido,Adventure,6.3,58,99
Vikaasaparva,Adventure,8.9,539,134
Benjamin Bat,Adventure,8.1,28,75
Fights Break Sphere 3,Adventure,4.7,8,81
Bar MoskvaChiki,Adventure,5.2,100,91
Kalvan,Adventure,5.6,984,142
Pui Pui Molcar the Movie: Molmax,Adventure,7.0,7,69
The Very Last Christmas,Adventure,8.5,11,75
Xibalba Monster,Adventure,5.9,18,76
Daye: Seret ahl el Daye,Adventure,7.6,14,104
Turma da Mônica Jovem: Reflexos do Medo,Adventure,2.8,256,88
The Eye of the Salamander,Adventure,7.9,20,81
Dikkie Dik en de Verdwenen Knuffel,Adventure,7.2,125,62
This Land of Mine,Adventure,8.0,5,90
Dead Dead Demon's Dededede Destruction Zenpen,Adventure,7.0,136,120
Kade,Adventure,6.5,15,92
Mama,Adventure,8.5,7,100
Samaya bolshaya luna,Adventure,2.4,127,105
"Fallen Leaves, Broken Lighters",Adventure,7.8,6,96
Piraty galaktiki Barrakuda,Adventure,4.4,78,92
Tokusou Sentai Dekaranger 20th: Fireball Booster,Adventure,7.1,29,50
Chernyy zamok,Adventure,7.8,17,115
Igrisca ne damo!,Adventure,6.9,26,79
The Yoshi Movie,Adventure,7.7,12,105
Vasilisa i khraniteli vremeni,Adventure,3.1,66,98
The Umbrella Fairy,Adventure,5.5,48,95
Triple 7: They Said It Couldn't Be Done,Adventure,8.5,13,97
Zoloto Umalty,Adventure,5.0,101,109
Yasmeen's Element,Adventure,7.7,19,76
Adam i Eva,Adventure,5.1,92,95
Tay 2: Ebabil Takimi,Adventure,5.5,35,78
Shadows of Betrayal: Chronicles of Ian Blair,Adventure,7.3,12,65
Mobile Suit Gundam: Silver Phantom,Adventure,6.1,13,90
Hope & Glory,Adventure,6.6,142,44
BAM!,Adventure,7.2,27,80
Historia de pastores,Adventure,5.8,25,80
De Legende van Familie Vos,Adventure,5.7,58,81
Oyunda Kal: Eglence Arenasi,Adventure,2.7,35,92
