Title,Genre,Rating,Votes,Duration (Minutes)
Moana 2,Animation,6.7,86000,100
Flow,Animation,7.9,57000,85
The Wild Robot,Animation,8.2,151000,102
Mufasa: The Lion King,Animation,6.6,47000,118
The Lord of the Rings: The War of the Rohirrim,Animation,6.3,27000,134
The Day the Earth Blew Up: A Looney Tunes Movie,Animation,6.9,1600,91
Night of the Zoopocalypse,Animation,6.2,314,91
Despicable Me 4,Animation,6.2,62000,94
Inside Out 2,Animation,7.5,211000,96
Transformers One,Animation,7.6,47000,104
Memoir of a Snail,Animation,7.8,15000,95
Solo Leveling: ReAwakening,Animation,8.7,6600,121
IF,Animation,6.4,57000,104
Spermageddon,Animation,5.7,592,80
Wallace & Gromit: Vengeance Most Fowl,Animation,7.5,33000,82
Harold and the Purple Crayon,Animation,5.7,7900,90
Attack on Titan the Movie: The Last Attack,Animation,9.3,14000,145
Kung Fu Panda 4,Animation,6.3,67000,94
The Garfield Movie,Animation,5.7,24000,101
Hitpig,Animation,5.1,826,86
Watchmen: Chapter I,Animation,7.0,6200,83
Spellbound,Animation,5.7,6300,109
Look Back,Animation,7.8,14000,58
Grand Theft Hamlet,Animation,6.9,1500,89
Saving Bikini Bottom: The Sandy Cheeks Movie,Animation,3.7,3700,82
Piece by Piece,Animation,6.9,5100,93
Watchmen: Chapter II,Animation,7.0,2700,90
Megamind vs. The Doom Syndicate,Animation,2.5,5500,83
The Remarkable Life of Ibelin,Animation,8.2,12000,103
Orion and the Dark,Animation,6.3,17000,93
A Sloth Story,Animation,5.7,173,90
My Hero Academia: You're Next,Animation,7.0,1900,110
Justice League: Crisis on Infinite Earths - Part One,Animation,6.2,8300,93
The Most Precious of Cargoes,Animation,7.2,699,81
That Christmas,Animation,6.8,17000,91
Thelma the Unicorn,Animation,5.7,2900,93
Justice League: Crisis on Infinite Earths - Part Three,Animation,6.1,4300,94
The Tiger's Apprentice,Animation,5.8,2100,84
The Lost Tiger,Animation,7.8,33,90
200% Wolf,Animation,6.0,1300,98
Demon Slayer: Kimetsu No Yaiba - To the Hashira Training,Animation,7.1,8300,104
Ultraman: Rising,Animation,6.9,6200,117
10 Lives,Animation,5.9,1800,88
Doraemon the Movie: Nobita's Earth Symphony,Animation,6.6,1400,115
Frida,Animation,7.5,1500,87
Woody Woodpecker Goes to Camp,Animation,4.5,2500,100
Mars,Animation,8.9,19,84
Dan Da Dan: First Encounter,Animation,8.2,2600,83
Justice League: Crisis on Infinite Earths - Part Two,Animation,5.5,5200,94
Buffalo Kids,Animation,6.6,627,93
Dragonkeeper,Animation,5.7,1600,98
Re: Zero - Starting Life in Another World- Season 3 Episode 1 90-minute Special 'Theatrical Malice',Animation,8.7,973,90
Crayon Shin-chan: Ora's Dinosaur Diary,Animation,6.5,309,106
My Freaky Family,Animation,6.4,388,86
Limonov: The Ballad of Eddie,Animation,6.0,729,138
The Glassworker,Animation,7.5,1500,98
The Colors Within,Animation,7.2,804,101
Johnny Puff: Secret Mission,Animation,4.8,433,87
Ghost Cat Anzu,Animation,6.5,695,97
From Ground Zero,Animation,7.9,492,112
Storm Crashers,Animation,6.3,550,88
Dalia y el Libro Rojo,Animation,6.7,41,107
Overlord: The Sacred Kingdom,Animation,7.0,698,135
Rebellious,Animation,6.0,159,94
Savages,Animation,7.0,268,87
Haikyu!! The Dumpster Battle,Animation,7.7,6000,85
The Night Before Christmas in Wonderland,Animation,6.3,507,80
Mononoke the Movie: The Phantom in the Rain,Animation,6.8,1100,89
Lesbian Space Princess,Animation,8.1,96,87
Blue Lock: Episode Nagi,Animation,6.6,2400,91
Super-Charlie,Animation,6.3,104,80
Ryan's World the Movie: Titan Universe Adventure,Animation,1.8,636,80
My Oni Girl,Animation,6.0,1700,112
Shrek 5: The Contract - A Fan Made Film,Animation,7.0,18,84
White Snake: Afloat,Animation,6.9,426,133
Fox & Hare Save the Forest,Animation,5.9,192,71
Noah's Ark,Animation,4.3,623,96
No Time to Spy: A Loud House Movie,Animation,6.4,434,81
The Quintessential Quintuplets Specials 2,Animation,7.1,111,46
Panda Bear in Africa,Animation,5.5,307,84
Boys Go to Jupiter,Animation,6.9,88,90
Xiong Shi Shao Nian 2,Animation,7.5,184,134
Mobile Suit Gundam SEED Freedom,Animation,6.6,923,124
Given 3: To the Sea,Animation,7.8,8,80
Baki Hanma VS Kengan Ashura,Animation,5.7,1900,62
Uma Musume: Pretty Derby - Beginning of a New Era,Animation,7.4,109,108
Zak & Wowo: The Legend of Lendarys,Animation,5.7,86,85
Detective Conan: The Million-Dollar Pentagram,Animation,6.8,1400,111
Exorcism Chronicles: The Beginning,Animation,7.0,64,85
Rafadan Tayfa: Kapadokya,Animation,6.7,110,84
Gracie and Pedro: Pets to the Rescue,Animation,5.1,258,87
SuperKlaus,Animation,4.3,189,88
Schirkoa: In Lies We Trust,Animation,5.6,153,103
The Casagrandes Movie,Animation,5.6,651,89
Diplodocus,Animation,6.5,158,90
Jon Vardar protiv Galaksijata,Animation,8.9,60,86
The Big Trip 3: Race Around the World,Animation,5.7,50,85
"Maya, donne-moi un titre",Animation,6.4,47,61
Little Emma,Animation,5.7,98,106
Elli and the Ghostly Ghost Train,Animation,5.0,88,86
Mariposas Negras,Animation,7.0,46,83
Bocchi the Rock! Re:,Animation,7.5,142,90
Sabbath Queen,Animation,8.1,57,105
Out of the Nest,Animation,7.5,102,84
Fureru,Animation,6.4,23,107
Peppa's Cinema Party,Animation,5.0,153,65
Dead Dead Demon's Dededede Destruction,Animation,7.0,136,120
Movie Given Hiiragi Mix.,Animation,7.4,134,70
Living Large,Animation,7.8,100,80
Captain Avispa,Animation,5.8,172,96
Nie Xiaoqian,Animation,6.7,14,112
Kvitebjørn,Animation,5.9,51,85
"Die Heinzels: Neue Mützen, Neue Mission",Animation,6.4,70,76
Dragon Ball Z Kai,Animation,8.4,65,82
Kizumonogatari: Koyomi Vamp,Animation,6.9,79,144
Slocum et moi,Animation,7.4,63,75
Dongeng Sang Kancil,Animation,8.1,77,99
Hola Frida,Animation,7.1,20,82
Angelo dans la forêt mystérieuse,Animation,6.0,105,81
The Storm,Animation,6.1,135,102
Il segreto di Liberato,Animation,7.3,209,90
Bocchi the Rock! Re: Re:,Animation,7.9,87,77
Sanatorium Under the Sign of the Hourglass,Animation,5.3,89,75
"Robotia, the Movie",Animation,8.1,20,86
PAPmusic - Animation for Fashion,Animation,1.0,123,85
Niko: Beyond the Northern Lights,Animation,6.3,295,86
Yumi's Cells: The Movie,Animation,6.2,48,93
Rock Bottom,Animation,7.0,37,86
Quo Vadis,Animation,6.6,330,90
The Proud Princess,Animation,7.1,97,84
Tri kota. Zimnie kanikuly,Animation,6.1,27,65
Wonderful Precure! The Movie! Doki Doki Game no Sekai de Daiboken,Animation,6.8,25,71
Fuuto PI: Portrait of Kamen Rider Skull,Animation,7.5,30,82
Rocky and Bullwinkle,Animation,9.7,11,100
Si Juki the Movie: Harta Pulau Monyet,Animation,6.0,114,107
Into the Mortal World,Animation,6.8,137,118
Nintama Rantaro Dokutake Ninja-tai Saikyou no Gunshi,Animation,6.8,14,90
TWST: Things We Said Today,Animation,6.9,43,86
Transformers: 40th Anniversary Event,Animation,7.2,28,96
Goldbeak,Animation,4.9,126,94
"Silex and the City, le film",Animation,4.9,47,77
Askepote,Animation,3.5,80,72
Appu,Animation,8.6,181,92
Masha i Medved v kino: Park chudes,Animation,7.0,16,58
Steal the Naughty List,Animation,6.7,113,90
Rocket Club: Across the Cosmos,Animation,8.2,18,68
Mustafa,Animation,6.9,73,75
Dikkie Dik 2: Een Nieuwe Vriend voor Dikkie Dik,Animation,7.4,71,70
The Worlds Divide,Animation,8.0,36,120
Norbert,Animation,6.7,10,75
Maxxie LaWow: Drag Super-shero,Animation,8.9,54,114
Flavors of Iraq,Animation,8.1,36,95
Benjamin Bat,Animation,8.1,28,75
Double Tuckerr,Animation,5.0,1200,120
Olivia & the Clouds,Animation,7.2,44,81
Trapezium,Animation,6.4,129,102
Pui Pui Molcar the Movie: Molmax,Animation,7.0,7,69
Boonie Bears: Time Twist,Animation,6.0,159,105
Dikkie Dik en de Verdwenen Knuffel,Animation,7.2,125,62
Kuramerukagari,Animation,5.8,79,61
Dead Dead Demon's Dededede Destruction Zenpen,Animation,7.0,136,120
The Greatest Surf Movie in the Universe,Animation,5.4,8,81
Meitantei Conan Bâsasu Kaitô Kiddo,Animation,6.2,151,81
Hello My Beautiful Creatures,Animation,6.8,168,142
Max Beyond,Animation,6.6,17,93
Animal Tales of Christmas Magic,Animation,6.8,50,72
A Few Moments of Cheers,Animation,7.5,23,68
The Umbrella Fairy,Animation,5.5,48,95
Sunburnt Unicorn,Animation,7.4,9,81
Motu Patlu & The Race to the Diamond Valley,Animation,7.8,27,72
Tay 2: Ebabil Takimi,Animation,5.5,35,78
Mobile Suit Gundam: Silver Phantom,Animation,6.1,13,90
Code Geass: Rozé of the Recapture - Part 1,Animation,7.9,39,74
Formula vody,Animation,4.3,27,86
Nothing Unusual,Animation,9.7,12,92
Love Live! Nijigasaki High School Idol Club Final Chapter Part 1,Animation,6.0,7,59
Riki Rhino: The Bird Kingdom,Animation,5.0,22,109
Uma & Haggen: Mitos,Animation,7.4,44,94
Motu Patlu & The Rise of Zombies,Animation,6.6,15,74
Lilla spöket Laban spökar igen,Animation,6.1,23,44
Tobias and the Arcane Merchant,Animation,9.0,42,167
Inanimate Insanity II: The Movie,Animation,8.9,226,106
Tri bogatyrya. Ni dnya bez podviga,Animation,5.7,62,61
Bloody Escape,Animation,6.1,25,100
Luv You Shankar,Animation,5.8,43,120
Arne Alligator och djungelkompisarna,Animation,4.6,48,61
The Ballad of Straw Hat Sam,Animation,9.2,10,45
Ya Boy Kongming! Road to Summer Sonia,Animation,7.5,38,119
Ugly Sweater,Animation,7.1,13,80
The Car Acrobatic Team Saga,Animation,8.0,9,112
Code Geass: Rozé of the Recapture: Part 2,Animation,8.1,24,76
Astra,Animation,6.8,8,80
Bob a Bobek ve filmu: Na stope Mrkvojeda,Animation,8.7,18,80
The Delegator,Animation,4.2,17,96
Be Forever Yamato: Rebel 3199: Part 1: Dark Invasion,Animation,7.0,9,50
Turbozavry. God drakona,Animation,9.2,42,48
Bizarros Peixes das Fossas Abissais,Animation,8.4,8,75
Velký Pán,Animation,7.0,8,73
Terra Incognita 1901,Animation,9.2,13,78
Abá e Sua Banda,Animation,8.0,6,84
Let's Go! Anpanman: Baikinman and Lulun,Animation,6.5,7,64
2475 Dawn of Revolution,Animation,6.3,152,127
Skazochnyy patrul. Shou prodolzhayetsya,Animation,7.2,11,65
Code Geass: Rozé of the Recapture: Part 3,Animation,7.7,22,76
Pleasant Goat and Big Big Wolf: The World Guardians,Animation,7.0,11,96
"Hey, Tete",Animation,6.4,9,151
Zuzubalândia: O Filme,Animation,5.6,10,60
Babaee-ye Ghahreman,Animation,8.5,35,80
Ninja Doomscrolling,Animation,8.1,102,96
Code Geass: Rozé of the Recapture: Part 4,Animation,7.0,12,70
Isle: Alpha One,Animation,8.4,7,97
Nasreddin Hoca: Zaman Yolcusu - Kadim Medeniyetler,Animation,7.7,12,78
Ekip: Siberay - Günes Firtinasi,Animation,6.0,14,72
LUDA,Animation,7.2,6,86
Bie ba zuo wen dang hui shi er,Animation,7.2,10,89
Sirds likums,Animation,6.6,16,65
