Title,Genre,Rating,Votes,Duration (Minutes)
Emilia Pérez,Crime,5.4,84000,132
Trap,Crime,5.8,129000,105
Longlegs,Crime,6.6,178000,101
Pushpa: The Rule - Part 2,Crime,6.1,54000,201
The Order,Crime,6.8,37000,116
Juror #2,Crime,7.0,91000,114
Despicable Me 4,Crime,6.2,62000,94
Riff Raff,Crime,6.3,793,103
MaXXXine,Crime,6.3,67000,103
The Beekeeper,Crime,6.3,152000,105
Carry-On,Crime,6.5,159000,119
Rebel Ridge,Crime,6.8,85000,131
Wolfs,Crime,6.5,79000,108
The Crow,Crime,4.7,32000,111
The Seed of the Sacred Fig,Crime,7.6,12000,167
Bad Boys: Ride or Die,Crime,6.5,98000,115
Love Lies Bleeding,Crime,6.6,56000,104
Lucky Baskhar,Crime,8.0,30000,148
Monkey Man,Crime,6.8,90000,121
Freaky Tales,Crime,6.4,363,106
Greedy People,Crime,6.2,11000,112
Jönssonligan kommer tillbaka,Crime,6.0,990,104
Absolution,Crime,5.2,7400,112
Sleeping Dogs,Crime,6.2,21000,110
The Instigators,Crime,6.2,37000,101
Lift,Crime,5.5,49000,107
Beverly Hills Cop: Axel F,Crime,6.4,80000,118
Hitpig,Crime,5.1,826,86
The Silent Hour,Crime,6.1,7000,99
Maharaja,Crime,8.4,65000,141
Beating Hearts,Crime,7.0,4000,166
Misericordia,Crime,6.9,1500,104
Brothers,Crime,5.4,13000,89
Killer Heat,Crime,5.6,13000,95
Long Gone Heroes,Crime,5.2,958,101
Force of Nature: The Dry 2,Crime,5.9,6700,120
The Shadow Strays,Crime,6.5,8900,144
Armor,Crime,3.5,3600,89
Trigger Warning,Crime,4.6,19000,106
Blackwater Lane,Crime,4.6,1800,108
Twilight of the Warriors: Walled In,Crime,7.0,8900,126
Boneyard,Crime,4.1,4800,96
The Thicket,Crime,5.8,2900,108
The Calendar Killer,Crime,5.4,3900,97
Santosh,Crime,7.0,1400,128
The Unholy Trinity,Crime,7.9,49,93
Inside,Crime,7.0,211,104
Mea Culpa,Crime,4.2,6900,120
Megamind vs. The Doom Syndicate,Crime,2.5,5500,83
Dead Sea,Crime,5.3,5200,88
Sector 36,Crime,7.1,25000,123
Damaged,Crime,4.7,7100,97
Colors of Evil: Red,Crime,6.4,8300,111
Trouble,Crime,6.2,6600,98
Faultline,Crime,6.0,69,92
"I, the Executioner",Crime,6.3,1600,118
Code 8: Part II,Crime,5.7,16000,100
Depravity,Crime,4.3,908,117
Bogota: City of the Lost,Crime,5.4,1800,108
City Hunter,Crime,6.3,5500,102
Drugstore June,Crime,5.3,1700,91
Maharaj,Crime,6.5,15000,131
Lake George,Crime,6.3,842,118
Duchess,Crime,4.6,1200,114
Harbin,Crime,6.5,480,108
Do Patti,Crime,6.4,68000,126
Detained,Crime,4.9,1500,97
Badland Hunters,Crime,5.9,12000,107
The Courier,Crime,6.0,4300,101
The Soul Eater,Crime,5.9,2400,108
Sikandar Ka Muqaddar,Crime,6.0,24000,142
Broken Rage,Crime,6.1,1200,62
The Roundup: Punishment,Crime,6.6,5000,109
Here Now,Crime,4.8,267,118
Marmalade,Crime,6.2,3500,99
Raayan,Crime,6.5,11000,145
What Jennifer Did,Crime,6.1,11000,87
First Shift,Crime,4.4,2000,89
El Jockey,Crime,6.4,1500,96
Lover Stalker Killer,Crime,7.0,13000,90
Barron's Cove,Crime,8.0,28,116
Ride,Crime,5.9,366,114
Golam,Crime,7.2,5400,120
Laws of Man,Crime,4.1,321,98
Officer Black Belt,Crime,6.8,7900,108
Strictly Confidential,Crime,2.8,829,94
The Quiet Ones,Crime,6.5,511,110
Darkness of Man,Crime,4.8,3100,109
Rats!,Crime,8.0,77,85
Justice,Crime,6.3,3800,113
Cult Killer,Crime,4.8,2700,105
In Her Place,Crime,6.2,1400,96
Bougainvillea,Crime,6.4,3000,138
A Place Called Silence,Crime,6.5,1200,119
Papa,Crime,7.5,285,131
The Trainer,Crime,7.2,51,95
Pani,Crime,6.9,2800,143
The Thundermans Return,Crime,5.0,1800,70
Cookster: The Darkest Days,Crime,8.3,35,119
Crescent City,Crime,3.9,1300,103
Boundless,Crime,5.6,1800,121
5lbs of Pressure,Crime,5.3,1500,111
Freedom,Crime,5.9,1300,110
Guns & Moses,Crime,8.2,38,94
Sicilian Letters,Crime,6.1,577,122
The Smile Man,Crime,7.7,1500,122
Ferry 2,Crime,5.6,3700,94
King Ivory,Crime,7.2,62,130
The Park Maniac,Crime,4.8,1500,103
Wanted Man,Crime,4.8,2500,85
To a Land Unknown,Crime,7.3,432,105
Hijack 1971,Crime,6.8,3200,100
Thalavan,Crime,7.2,4400,131
Shoutai,Crime,6.9,471,120
Bloodline Killer,Crime,3.8,4400,105
Bhakshak,Crime,7.2,7100,134
Saripodhaa Sanivaaram,Crime,7.0,8800,166
The Clean Up Crew,Crime,4.1,1100,95
The Sabarmati Report,Crime,6.4,24000,127
Viduthalai Part 2,Crime,8.0,15000,170
Revolver,Crime,5.4,818,114
Two to One,Crime,6.0,684,116
