Title,Genre,Rating,Votes,Duration (Minutes)
Moana 2,Family,6.7,86000,100
Flow,Family,7.9,57000,85
Sonic the Hedgehog 3,Family,6.9,52000,110
Mufasa: The Lion King,Family,6.6,47000,118
The Day the Earth Blew Up: A Looney Tunes Movie,Family,6.9,1600,91
Paddington in Peru,Family,6.7,17000,106
Despicable Me 4,Family,6.2,62000,94
Inside Out 2,Family,7.5,211000,96
Transformers One,Family,7.6,47000,104
IF,Family,6.4,57000,104
Wallace & Gromit: Vengeance Most Fowl,Family,7.5,33000,82
Harold and the Purple Crayon,Family,5.7,7900,90
Kung Fu Panda 4,Family,6.3,67000,94
The Garfield Movie,Family,5.7,24000,101
The Forge,Family,6.7,4600,124
Hitpig,Family,5.1,826,86
Young Hearts,Family,8.1,4400,97
Descendants: The Rise of Red,Family,4.7,6900,91
How to Make Millions Before Grandma Dies,Family,8.0,13000,125
Faith of Angels,Family,5.9,168,98
Spellbound,Family,5.7,6300,109
Fear,Family,8.5,2700,115
Saving Bikini Bottom: The Sandy Cheeks Movie,Family,3.7,3700,82
My Penguin Friend,Family,6.7,4700,97
Piece by Piece,Family,6.9,5100,93
Lost on a Mountain in Maine,Family,6.2,1100,98
You Gotta Believe,Family,5.8,1200,104
Unsung Hero,Family,7.0,4900,113
Megamind vs. The Doom Syndicate,Family,2.5,5500,83
Orion and the Dark,Family,6.3,17000,93
A Sloth Story,Family,5.7,173,90
That Christmas,Family,6.8,17000,91
Thelma the Unicorn,Family,5.7,2900,93
The Tiger's Apprentice,Family,5.8,2100,84
The Lost Tiger,Family,7.8,33,90
Big World,Family,7.4,974,131
Guest from the Future,Family,6.0,1100,141
200% Wolf,Family,6.0,1300,98
Ultraman: Rising,Family,6.9,6200,117
Panda Plan,Family,5.1,1100,99
10 Lives,Family,5.9,1800,88
Doraemon the Movie: Nobita's Earth Symphony,Family,6.6,1400,115
Autumn and the Black Jaguar,Family,5.6,960,100
The Thundermans Return,Family,5.0,1800,70
Runt,Family,6.4,495,91
Woody Woodpecker Goes to Camp,Family,4.5,2500,100
Buffalo Kids,Family,6.6,627,93
Woodwalkers,Family,5.4,341,103
Meiyazhagan,Family,8.4,13000,177
Bibi Rajni,Family,8.6,707,143
Average Joe,Family,4.2,559,100
Crayon Shin-chan: Ora's Dinosaur Diary,Family,6.5,309,106
My Freaky Family,Family,6.4,388,86
The Groomsmen: First Look,Family,6.1,377,82
Bambi: A Tale of Life in the Woods,Family,5.7,149,85
Man and Witch: The Dance of a Thousand Steps,Family,5.6,324,94
Ghost Cat Anzu,Family,6.5,695,97
Storm Crashers,Family,6.3,550,88
Dalia y el Libro Rojo,Family,6.7,41,107
Rebellious,Family,6.0,159,94
Savages,Family,7.0,268,87
Robin and the Hoods,Family,4.4,504,100
The Night Before Christmas in Wonderland,Family,6.3,507,80
Der Buchspazierer,Family,7.3,349,98
Believe in Christmas,Family,6.1,820,90
A Brother and 7 Siblings,Family,8.6,1100,129
Going Viral,Family,6.8,49,90
A Sudden Case of Christmas,Family,5.1,1100,91
School of Magical Animals 3,Family,5.9,295,105
Super-Charlie,Family,6.3,104,80
The Neon Highway,Family,6.0,483,113
Rally Caps,Family,5.5,128,100
Ryan's World the Movie: Titan Universe Adventure,Family,1.8,636,80
And the Breadwinner Is...,Family,6.8,241,123
My Oni Girl,Family,6.0,1700,112
A Carpenter's Prayer,Family,8.6,33,91
Disaster Holiday,Family,4.8,671,93
Return to Wickensburg,Family,4.8,22,88
Børnene fra Sølvgade,Family,7.6,91,102
Noah's Ark,Family,4.3,623,96
2nd Miracle in Cell No. 7,Family,7.8,198,147
Marry Christmas,Family,6.9,57,85
No Time to Spy: A Loud House Movie,Family,6.4,434,81
Rajakili,Family,8.2,547,122
A Nashville Wish,Family,5.6,87,102
Home Sweet Loan,Family,8.1,817,112
Panda Bear in Africa,Family,5.5,307,84
Like a Rolling Stone,Family,7.8,407,106
Victoria må dø,Family,5.9,346,85
Véletlenül írtam egy könyvet,Family,7.6,272,98
Juliette au printemps,Family,6.5,215,95
Brewster's Millions: Christmas,Family,5.7,185,100
The Snow Sister,Family,7.0,2100,96
Skelly,Family,5.6,88,85
The Primrose Railway Children,Family,4.9,142,81
Father There is Only One 4,Family,5.2,599,90
Il migliore dei mali,Family,7.8,6,90
Grrr...,Family,4.0,805,121
Zak & Wowo: The Legend of Lendarys,Family,5.7,86,85
Dog Days,Family,6.7,296,120
Dance Rivals,Family,6.0,63,93
Gracie and Pedro: Pets to the Rescue,Family,5.1,258,87
Bila Esok Ibu Tiada,Family,6.6,221,104
Magic Beach,Family,5.5,58,80
SuperKlaus,Family,4.3,189,88
Paper Flowers,Family,9.1,29,100
Dear Family,Family,7.0,47,116
The Adventures of Jurassic Pet: Return to the Wild,Family,5.5,51,90
The Casagrandes Movie,Family,5.6,651,89
The Big Trip 3: Race Around the World,Family,5.7,50,85
The Legend of Catclaws Mountain,Family,3.5,170,104
"Maya, donne-moi un titre",Family,6.4,47,61
Little Emma,Family,5.7,98,106
Elli and the Ghostly Ghost Train,Family,5.0,88,86
Yaren Leylek,Family,5.9,24,95
Peppa's Cinema Party,Family,5.0,153,65
Sabari,Family,8.4,5400,129
For Prophet,Family,5.4,104,105
Superkrachten voor je hoofd,Family,7.3,193,92
Yolki 11,Family,4.7,163,92
Babah,Family,7.0,105,129
Joy of Horses,Family,5.8,160,90
Living Large,Family,7.8,100,80
Singapore Saloon,Family,6.0,1200,137
Stinky Summer,Family,5.9,45,90
Saint Nick of Bethlehem,Family,9.3,96,93
Amaltash,Family,8.1,144,113
Captain Avispa,Family,5.8,172,96
My Redneck Neighbor: Chapter 1 - The Rednecks Are Coming,Family,5.0,7,74
Powder Pup,Family,6.2,73,89
Chico Bento e a Goiabeira Maraviosa,Family,7.8,452,90
Too Old for Fairy Tales 2,Family,4.8,387,95
Vishesham,Family,6.7,1300,136
Letuchiy korabl,Family,3.7,288,100
Kvitebjørn,Family,5.9,51,85
"Die Heinzels: Neue Mützen, Neue Mission",Family,6.4,70,76
"Love, Sitara",Family,5.3,295,105
The Lamb,Family,7.1,27,85
Dongeng Sang Kancil,Family,8.1,77,99
Gharat Ganpati,Family,7.9,493,139
Juf Braaksel en de Geniale Ontsnapping,Family,4.0,42,83
Troy the Bharat Putra,Family,5.7,30,134
Sunny,Family,7.6,21,122
Dedh Bigha Zameen,Family,6.9,740,100
Obraz,Family,7.5,15,95
Baba Yaga spasaet Novyy god,Family,4.4,113,99
Sieger Sein,Family,6.6,168,119
Gina,Family,7.7,21,100
Miracle Mile,Family,8.7,27,82
Carol,Family,8.3,47,115
Chicken Coop,Family,5.8,87,98
Windcatcher,Family,5.3,406,80
14 Days Love,Family,7.5,8,112
The Magic Penguin,Family,3.8,26,89
Planet 7693,Family,7.6,66,110
Treasure Trackers,Family,5.8,151,92
"Robotia, the Movie",Family,8.1,20,86
Niko: Beyond the Northern Lights,Family,6.3,295,86
