Title,Genre,Rating,Votes,Duration (Minutes)
I'm Still Here,History,8.4,93000,137
The Apprentice,History,7.1,49000,122
William Tell,History,5.7,1600,133
September 5,History,7.1,20000,95
Saturday Night,History,6.9,29000,109
The Count of Monte-Cristo,History,7.6,32000,178
Queer,History,6.5,18000,137
The Six Triple Eight,History,6.7,25000,127
Small Things Like These,History,6.8,20000,98
The Girl with the Needle,History,7.5,12000,123
The Return,History,6.2,7400,116
Reagan,History,6.2,11000,141
Bonhoeffer: Pastor. Spy. Assassin.,History,6.3,3300,133
Blitz,History,6.2,15000,120
Unfrosted,History,5.5,34000,97
The Devil's Bath,History,6.6,5800,121
Vermiglio,History,6.9,3500,119
Joy,History,7.1,8900,115
The Children's Train,History,7.4,6600,106
Waves,History,8.2,1400,131
11 Rebels,History,6.2,252,155
Being Maria,History,6.1,522,100
Escape from Germany,History,5.3,901,97
Grand Tour,History,6.5,1400,128
Uprising,History,6.6,5300,126
Maharaj,History,6.5,15000,131
Before Dawn,History,5.4,927,101
Harbin,History,6.5,480,108
Chhava,History,8.6,2200,51
Goebbels and the Führer,History,6.7,1900,135
The New Year That Never Came,History,8.2,4800,138
"From Hilde, with Love",History,7.0,747,125
No Chains No Masters,History,6.4,475,98
Seize Them!,History,5.1,1200,91
Housewife of the Year,History,7.9,41,81
In Her Place,History,6.2,1400,96
Shirley,History,6.2,3300,117
Golden Kamuy,History,6.3,2500,127
Harvest,History,6.1,324,131
Sucha Soorma,History,6.5,907,136
Shivrayancha Chhava,History,7.1,402,80
Witches,History,7.4,1100,90
Bibi Rajni,History,8.6,707,143
The Flood,History,6.6,169,101
Razakar: The Silent Genocide of Hyderabad,History,7.4,5300,166
The Ballad of Davy Crockett,History,4.6,244,96
Limonov: The Ballad of Eddie,History,6.0,729,138
"Love, Courage and the Battle of Bushy Run",History,5.0,171,113
Quisling: The Final Days,History,7.1,1000,146
Witch,History,5.1,1400,107
Chandu Champion,History,7.8,34000,142
The Last Front,History,5.5,596,98
Louise Violet,History,6.5,139,108
Intoxicated by Love,History,8.5,12000,118
Color of Victory,History,6.1,40000,157
Six Days in August,History,6.1,117,120
Atatürk II: 1881-1919,History,8.9,1900,141
Maidaan,History,7.9,22000,181
The Damned,History,5.3,791,89
Dharmarakshak Mahaveer Chhatrapati Sambhaji Maharaj,History,8.2,649,174
Thangalaan,History,6.6,6500,156
Einstein and the Bomb,History,6.2,4000,76
The Commandant's Shadow,History,7.3,1000,103
The Volunteers: The Battle of Life and Death,History,6.2,213,144
Gloria!,History,6.6,955,106
Kingdom 4: Return of the Great General,History,7.1,1200,145
Battlefield,History,6.2,634,104
Ka Whawhai Tonu,History,7.4,169,115
Never Alone,History,7.2,402,85
The Great Ambition,History,7.2,663,123
Apollo 13: Survival,History,7.3,2300,98
Operation Undead,History,4.6,348,110
Something to Stand for with Mike Rowe,History,8.7,279,96
Janis Ian: Breaking Silence,History,8.6,33,114
Unsinkable,History,5.7,137,100
Simona Kossak,History,6.1,275,100
Die Ermittlung: Oratorium in 11 Gesängen,History,7.6,152,241
The Kingdom,History,7.9,85,133
Meeting with Pol Pot,History,6.4,347,112
Apocalypse in the Tropics,History,7.4,83,110
Kupu-Kupu Kertas,History,7.0,113,113
Conquer: Lahad Datu,History,6.7,494,120
Ahl Al Kahf,History,5.2,237,120
Vindication Swim,History,6.0,200,98
