Title,Genre,Rating,Votes,Duration (Minutes)
Kraven the Hunter,Action,5.4,44000,127
Gladiator II,Action,6.6,215000,148
Sonic the Hedgehog 3,Action,6.9,52000,110
Venom: The Last Dance,Action,6.0,107000,110
Dune: Part Two,Action,8.5,612000,166
Pushpa: The Rule - Part 2,Action,6.1,54000,201
William Tell,Action,5.7,1600,133
Elevation,Action,5.6,19000,91
The Lord of the Rings: The War of the Rohirrim,Action,6.3,27000,134
The Ministry of Ungentlemanly Warfare,Action,6.8,131000,122
Furiosa: A Mad Max Saga,Action,7.5,279000,148
Deadpool & Wolverine,Action,7.6,479000,128
Borderlands,Action,4.7,45000,101
Hellboy: The Crooked Man,Action,4.5,12000,99
Twisters,Action,6.5,160000,122
Civil War,Action,7.0,232000,109
Old Guy,Action,5.1,1600,94
The Count of Monte-Cristo,Action,7.6,32000,178
The Beekeeper,Action,6.3,152000,105
Carry-On,Action,6.5,159000,119
Marco,Action,6.9,20000,145
The Fall Guy,Action,6.8,216000,126
Rebel Ridge,Action,6.8,85000,131
Homestead,Action,5.4,3300,112
The Crow,Action,4.7,32000,111
Thelma,Action,7.0,21000,98
Kingdom of the Planet of the Apes,Action,6.9,149000,145
Road House,Action,6.2,165000,121
Red One,Action,6.3,137000,123
Transformers One,Action,7.6,47000,104
Solo Leveling: ReAwakening,Action,8.7,6600,121
Bad Boys: Ride or Die,Action,6.5,98000,115
Love Lies Bleeding,Action,6.6,56000,104
Damsel,Action,6.1,108000,110
Land of Bad,Action,6.6,50000,113
The Killer's Game,Action,5.7,16000,104
Argylle,Action,5.6,91000,139
Madame Web,Action,4.0,99000,116
Godzilla x Kong: The New Empire,Action,6.1,119000,115
Dirty Angels,Action,4.3,3100,104
The Union,Action,5.4,52000,107
Monkey Man,Action,6.8,90000,121
Aftermath,Action,5.1,3400,97
Azrael,Action,5.4,10000,86
Freaky Tales,Action,6.4,363,106
Attack on Titan the Movie: The Last Attack,Action,9.3,14000,145
Drive-Away Dolls,Action,5.4,23000,84
Werewolves,Action,4.4,6000,93
Uglies,Action,4.7,32000,100
Kung Fu Panda 4,Action,6.3,67000,94
Absolution,Action,5.2,7400,112
Arcadian,Action,5.5,22000,92
Blitz,Action,6.2,15000,120
The Instigators,Action,6.2,37000,101
Lift,Action,5.5,49000,107
Beverly Hills Cop: Axel F,Action,6.4,80000,118
The Killer,Action,5.7,12000,126
Hitpig,Action,5.1,826,86
Apocalypse Z: The Beginning of the End,Action,6.1,19000,117
The Silent Hour,Action,6.1,7000,99
Maharaja,Action,8.4,65000,141
Classified,Action,3.6,2200,105
Kalki 2898 AD,Action,7.0,66000,180
Descendants: The Rise of Red,Action,4.7,6900,91
Brothers,Action,5.4,13000,89
Atlas,Action,5.6,55000,118
Canary Black,Action,5.4,11000,101
Baby John,Action,5.4,17000,159
Survive,Action,4.6,2000,90
Long Gone Heroes,Action,5.2,958,101
